stocks,years,time
500,1,0.00343185
500,2,0.00665614
500,3,0.00971424
500,4,0.0147277
500,5,0.0175225
1000,1,0.00644364
1000,2,0.0133987
1000,3,0.0201624
1000,4,0.0276161
1000,5,0.0346196
1500,1,0.00926653
1500,2,0.0200927
1500,3,0.0297875
1500,4,0.0374872
1500,5,0.0470441
2000,1,0.0137776
2000,2,0.0259486
2000,3,0.0386124
2000,4,0.0483365
2000,5,0.0650822
2500,1,0.0150259
2500,2,0.0341252
2500,3,0.0462134
2500,4,0.0617942
2500,5,0.0773349
3000,1,0.0178026
3000,2,0.0391651
3000,3,0.0563441
3000,4,0.0723025
3000,5,0.0937118
3500,1,0.0236614
3500,2,0.0450462
3500,3,0.0646518
3500,4,0.0840626
3500,5,0.114114
4000,1,0.0218605
4000,2,0.049099
4000,3,0.0734055
4000,4,0.0940033
4000,5,0.124517
4500,1,0.0219227
4500,2,0.0499453
4500,3,0.0757611
4500,4,0.0994254
4500,5,0.134097
5000,1,0.0213881
5000,2,0.0501462
5000,3,0.0745888
5000,4,0.103961
5000,5,0.145255
