stocks,years,time
500,1,0.008857965469360352
500,2,0.01357722282409668
500,3,0.0184938907623291
500,4,0.024554967880249023
500,5,0.030733585357666016
1000,1,0.013471126556396484
1000,2,0.025633573532104492
1000,3,0.036130428314208984
1000,4,0.04701948165893555
1000,5,0.059392690658569336
1500,1,0.019804954528808594
1500,2,0.03607058525085449
1500,3,0.05354428291320801
1500,4,0.07269644737243652
1500,5,0.08964967727661133
2000,1,0.025036334991455078
2000,2,0.04719090461730957
2000,3,0.07241225242614746
2000,4,0.09679555892944336
2000,5,0.11803388595581055
2500,1,0.031308889389038086
2500,2,0.06007552146911621
2500,3,0.08845949172973633
2500,4,0.11594390869140625
2500,5,0.14737272262573242
3000,1,0.037606000900268555
3000,2,0.07104802131652832
3000,3,0.10482978820800781
3000,4,0.1369791030883789
3000,5,0.17534589767456055
3500,1,0.04380440711975098
3500,2,0.08701658248901367
3500,3,0.12840008735656738
3500,4,0.17122673988342285
3500,5,0.21827983856201172
4000,1,0.04516959190368652
4000,2,0.09891533851623535
4000,3,0.14132213592529297
4000,4,0.18894100189208984
4000,5,0.2770652770996094
4500,1,0.04562211036682129
4500,2,0.09034156799316406
4500,3,0.15169715881347656
4500,4,0.21985960006713867
4500,5,0.3343226909637451
5000,1,0.04596376419067383
5000,2,0.09076380729675293
5000,3,0.15325546264648438
5000,4,0.2259232997894287
5000,5,0.37138962745666504
