stocks,years,time
500,1,0.008834123611450195
500,2,0.013443946838378906
500,3,0.01867985725402832
500,4,0.024335861206054688
500,5,0.031336069107055664
1000,1,0.013678312301635742
1000,2,0.025278568267822266
1000,3,0.03653144836425781
1000,4,0.047882080078125
1000,5,0.06231212615966797
1500,1,0.02115035057067871
1500,2,0.03633284568786621
1500,3,0.05347108840942383
1500,4,0.07390999794006348
1500,5,0.08949422836303711
2000,1,0.025632381439208984
2000,2,0.0484318733215332
2000,3,0.07332181930541992
2000,4,0.1002805233001709
2000,5,0.12112998962402344
2500,1,0.032694339752197266
2500,2,0.06023979187011719
2500,3,0.09233760833740234
2500,4,0.1218724250793457
2500,5,0.15346121788024902
3000,1,0.03843879699707031
3000,2,0.0751643180847168
3000,3,0.10990786552429199
3000,4,0.1470332145690918
3000,5,0.18651866912841797
3500,1,0.050981760025024414
3500,2,0.09160089492797852
3500,3,0.1293354034423828
3500,4,0.17052412033081055
3500,5,0.22110795974731445
4000,1,0.04577326774597168
4000,2,0.10128211975097656
4000,3,0.14273405075073242
4000,4,0.19379067420959473
4000,5,0.2947413921356201
4500,1,0.048949480056762695
4500,2,0.09952163696289062
4500,3,0.1638472080230713
4500,4,0.22969508171081543
4500,5,0.34201478958129883
5000,1,0.04637479782104492
5000,2,0.0914456844329834
5000,3,0.1541905403137207
5000,4,0.23682022094726562
5000,5,0.3644895553588867
